traffic_density,vehicle_count,honking_events,population_density,near_highway,near_construction,industrial_zone,hour,is_weekend,decibel_level
10,325,15,5583,1,0,1,8,0,78.19
4,244,7,9316,0,1,1,18,1,58.92
8,367,92,12817,1,1,0,15,0,85.65
7,340,86,2675,0,0,0,15,1,68.28
9,578,44,11841,0,1,0,16,0,88.02
8,200,94,18079,1,1,0,17,0,80.6
5,405,39,2569,0,0,0,9,0,59.82
2,127,112,3858,0,0,0,20,1,54.59
5,550,53,19322,0,1,0,18,0,77.21
8,429,118,9308,0,1,0,21,0,83.87
10,315,13,4744,0,0,1,14,0,71.1
9,190,58,2311,0,1,0,14,1,69.39
9,350,116,17055,1,1,1,10,1,89.64
1,512,93,17509,1,1,0,7,0,79.22
9,214,52,6406,1,0,1,21,0,77.54
7,31,102,8483,1,1,0,15,1,77.67
9,214,26,4563,0,1,0,9,1,78.61
8,509,46,10946,0,0,0,8,0,71.66
1,201,79,9144,1,0,0,14,0,62.78
8,335,114,10110,0,1,0,21,0,76.68
8,49,5,8642,1,0,1,4,1,67.49
3,115,54,1253,0,0,0,19,1,47.23
1,400,96,12064,0,1,0,1,0,71.22
8,463,43,7351,1,0,0,21,1,79.09
3,317,17,5604,0,1,1,15,1,62.32
3,380,15,15690,1,1,1,17,0,76.06
1,393,11,13921,1,0,1,15,0,59.94
5,573,19,11702,1,1,1,4,0,79.98
10,322,44,11603,0,1,1,0,1,79.16
7,440,63,9917,0,1,1,18,1,82.25
10,265,103,8859,1,1,0,9,0,88.42
9,256,58,4185,0,1,0,20,1,74.78
7,553,92,10369,1,0,0,12,1,82.69
9,204,93,18866,1,0,1,22,1,82.21
8,487,89,5444,0,1,0,23,1,79.06
2,382,21,15910,1,1,0,22,0,65.51
1,302,96,15971,0,0,1,22,1,59.28
7,572,116,10178,0,1,0,10,0,80.01
7,355,102,9133,0,1,0,14,1,76.36
8,181,46,8962,1,1,0,1,0,77.2
5,179,28,14388,1,0,1,5,1,66.4
3,493,85,17227,0,1,1,20,0,71.07
8,341,44,16703,0,0,0,10,0,72.02
6,31,76,3581,1,1,0,14,1,64.58
3,443,8,9949,0,1,1,8,1,69.07
1,92,23,16157,0,0,1,11,0,53.03
3,220,14,2791,1,0,1,3,1,66.33
5,541,35,2032,1,1,1,22,0,76.67
3,524,12,4862,1,1,0,23,0,68.07
1,58,90,18537,0,1,1,13,0,60.49
5,79,43,16515,1,0,0,21,0,63.02
10,597,100,5488,1,1,1,2,1,90.72
7,340,70,6844,1,0,0,20,1,70.99
7,454,71,8930,1,1,1,16,1,77.9
9,427,100,16193,1,1,1,12,1,95.75
10,405,104,9606,1,1,1,7,1,86.79
10,588,77,1938,1,1,0,11,0,86.64
3,97,75,19900,0,1,0,11,1,66.97
7,213,35,15319,1,1,0,11,1,71.81
1,304,115,10152,0,1,0,1,1,61.75
4,546,60,6889,0,0,1,9,0,64.14
4,543,103,3579,1,1,1,22,1,79.02
5,175,80,6795,0,1,1,8,1,68.09
7,359,39,14203,1,1,0,0,1,79.0
7,144,116,19142,0,1,1,3,1,76.79
4,299,92,9058,1,0,1,22,1,74.65
7,147,26,19875,0,0,1,13,0,70.04
3,333,0,4241,1,1,0,15,1,59.35
6,351,115,14381,1,1,0,17,1,78.13
2,169,33,16969,0,0,1,1,1,54.49
10,473,67,15914,0,0,0,5,0,78.8
9,55,87,14829,1,0,0,2,1,73.14
5,439,20,19377,0,1,1,19,1,78.55
6,41,32,16882,1,0,1,18,0,72.58
4,225,6,8823,0,0,0,12,1,57.85
10,375,64,8088,1,1,0,16,0,86.59
7,459,104,1403,0,1,1,13,1,72.55
9,115,2,12148,1,1,1,21,0,79.43
7,183,107,10455,0,0,1,10,0,66.92
1,167,50,3304,1,0,1,15,0,56.06
1,549,78,18110,0,0,1,10,0,69.96
9,313,94,1784,1,0,1,17,1,76.26
9,214,53,1189,0,1,1,1,0,77.42
4,499,79,5282,0,0,0,22,0,63.53
9,142,73,5007,1,1,0,20,1,78.4
3,419,117,2496,0,0,1,7,1,63.68
7,471,92,17313,0,0,0,13,0,77.07
6,123,58,9131,1,0,0,1,0,65.83
8,481,5,5007,1,1,1,12,1,80.9
9,415,28,1027,1,0,1,9,0,81.39
5,356,16,3496,1,1,1,7,1,76.3
1,161,116,3967,0,1,0,6,1,55.54
3,336,59,18245,0,1,1,12,0,71.11
10,577,21,15272,0,1,1,23,1,87.38
8,546,23,1203,1,0,0,18,1,75.6
6,575,80,1162,0,0,1,23,0,76.64
8,420,84,9614,0,1,0,14,1,81.26
9,329,50,6756,1,1,0,21,1,78.66
4,514,49,8867,0,0,1,1,0,69.37
1,575,10,13960,0,0,1,21,1,64.66
1,128,55,5797,1,1,1,4,1,60.39
10,391,70,9073,0,0,0,18,0,78.9
4,225,41,16082,1,0,1,0,1,63.05
7,62,38,5878,1,0,0,6,1,68.1
2,264,68,14000,0,1,1,17,1,67.92
3,306,107,805,0,1,1,0,1,59.45
1,374,47,5197,0,1,1,0,0,58.3
5,495,56,19274,1,1,1,6,1,78.14
1,102,20,7722,1,1,0,16,0,62.99
8,129,81,8433,0,0,1,5,1,66.87
1,209,98,18349,0,0,1,19,0,65.99
1,270,19,11963,1,0,1,11,1,65.17
2,310,14,902,0,1,1,19,0,57.99
2,220,68,13401,0,0,0,14,0,56.51
6,345,76,7440,1,1,0,12,1,76.96
7,530,50,16522,0,1,1,11,1,83.01
5,428,75,19554,0,1,0,20,0,78.9
1,527,61,8595,0,1,1,1,0,63.37
1,91,118,11342,0,1,0,20,0,62.46
3,266,84,5044,1,1,1,17,0,74.09
2,585,36,6574,1,0,0,3,0,65.02
5,363,5,19232,1,1,0,9,0,73.26
10,73,70,7350,1,0,0,10,1,72.19
6,547,25,1250,0,1,0,20,1,66.89
7,551,105,2117,0,0,0,5,0,70.79
4,577,111,3030,0,1,1,5,0,71.39
7,212,7,3833,0,1,0,8,1,65.88
8,77,72,7734,1,0,1,19,0,74.92
1,456,90,1011,0,1,1,12,0,62.05
6,130,3,15046,0,1,1,4,1,63.41
8,148,20,5582,1,0,1,5,1,72.08
5,345,30,17136,1,0,1,3,0,70.54
4,27,20,9320,1,1,1,5,1,66.95
2,48,103,3976,0,0,1,17,0,55.31
6,131,24,9678,1,0,1,12,1,67.67
6,150,102,2225,0,1,1,22,0,70.15
1,207,14,18977,0,0,1,2,0,60.42
9,494,116,14265,1,1,1,9,0,93.98
6,383,34,2201,1,0,0,3,0,69.92
3,223,48,8996,1,1,1,14,1,68.12
4,231,42,12770,0,1,1,11,1,66.82
4,295,40,10972,0,1,1,14,1,71.62
3,92,36,3307,0,0,0,20,0,53.22
10,262,56,16154,1,1,0,9,1,83.71
3,121,41,11578,0,0,1,11,0,53.25
3,190,46,8072,0,1,0,21,0,61.31
4,207,91,17908,0,1,0,7,1,71.1
7,460,60,19859,0,1,1,20,1,79.49
4,105,13,9198,1,0,1,20,0,60.8
9,495,67,5356,0,1,0,2,0,76.7
1,71,52,7224,1,1,0,6,1,59.99
8,130,83,9745,1,0,1,17,1,83.07
7,62,33,11366,0,1,1,2,1,72.93
2,230,75,19451,0,1,1,14,1,64.55
8,219,96,10596,1,0,1,1,1,77.17
1,45,23,5087,0,0,1,14,0,49.31
9,318,19,5422,1,0,1,12,0,77.53
9,96,68,5546,0,1,0,23,0,67.66
2,156,101,19778,0,0,1,19,1,66.81
7,39,29,7703,1,1,1,9,0,70.54
10,459,87,15903,0,1,0,23,1,87.23
3,230,106,10328,1,0,1,23,1,69.29
7,570,103,16297,1,0,1,23,1,92.83
10,454,6,538,0,1,0,23,0,76.59
9,226,35,19968,1,0,0,7,0,83.2
4,458,37,6765,0,0,1,15,0,62.22
1,61,79,7098,0,1,0,15,0,53.12
2,430,51,2915,0,0,1,1,1,60.59
1,542,14,17642,1,0,1,8,1,66.66
5,446,45,17648,0,0,0,7,0,73.13
5,294,22,14806,0,1,1,10,0,71.77
7,467,11,15077,1,0,1,0,1,82.73
9,388,92,12385,1,0,1,20,0,86.0
9,239,43,11877,1,1,1,10,0,83.0
3,596,111,11558,1,1,0,17,1,77.88
3,251,14,7943,0,1,0,20,0,57.38
3,347,92,18201,0,1,1,14,0,71.16
4,462,108,17584,0,0,1,23,0,77.1
8,71,106,4883,0,1,1,8,1,74.17
6,395,48,2093,1,1,1,8,0,79.05
8,282,20,15258,1,0,1,0,0,76.63
1,286,14,7526,0,1,0,6,1,59.55
8,378,13,3112,1,1,0,11,1,74.24
4,336,41,11829,1,0,0,23,1,69.42
1,343,107,2408,1,1,1,9,1,71.29
8,582,79,7454,1,1,1,18,1,93.53
4,440,14,15685,1,0,1,15,1,76.56
6,65,105,18674,0,0,0,5,1,68.5
8,288,62,15996,0,0,1,10,0,77.54
4,400,67,3428,1,0,0,18,1,69.81
3,137,26,9780,1,0,1,18,1,65.06
9,585,86,8181,0,0,1,17,1,79.89
3,135,92,4627,0,0,1,14,0,60.46
9,279,104,5463,1,0,1,15,0,83.42
2,94,52,12261,1,0,0,13,1,65.05
2,499,51,14054,1,0,1,7,1,71.74
2,324,62,9857,0,0,1,7,1,58.16
6,26,72,18909,1,0,0,1,0,65.24
3,385,52,1487,1,1,0,5,1,68.43
9,542,56,2465,1,0,0,12,0,73.27
4,367,119,7816,1,0,1,12,0,74.16
1,457,51,14546,1,0,1,20,1,72.2
4,234,106,1368,1,0,1,11,0,66.17
1,448,42,18947,1,0,1,1,1,66.05
5,517,6,18013,1,1,0,20,0,74.87
4,559,116,4878,0,1,0,19,0,68.66
8,386,41,15963,0,1,0,11,0,77.38
8,332,3,18818,0,1,0,16,1,79.81
7,557,68,13746,1,0,0,5,0,80.45
3,73,4,1576,0,1,1,6,0,61.91
1,560,74,18523,0,1,1,5,1,76.28
1,486,104,15669,0,0,1,20,0,68.64
3,183,91,6885,0,1,0,3,0,61.44
6,353,79,8722,0,1,0,20,1,69.88
7,566,40,17587,1,0,1,8,1,84.56
6,367,117,5980,0,0,1,4,1,72.81
6,292,93,8277,1,1,1,9,0,79.59
6,433,3,5862,1,0,1,14,0,70.25
3,519,1,1450,0,1,1,7,0,61.06
6,112,109,8750,1,0,1,22,0,77.65
8,98,66,3318,0,1,0,3,0,68.82
2,236,113,4100,1,1,1,4,1,69.49
5,377,20,11841,1,1,0,6,0,74.98
1,526,69,15553,0,0,1,5,1,70.05
1,578,42,19828,1,0,0,12,0,69.17
5,200,116,14833,1,1,0,18,0,75.83
3,595,81,6755,1,0,0,9,1,68.07
4,265,107,11407,1,0,1,14,0,72.33
3,263,68,16507,1,1,1,2,0,72.89
1,525,8,14741,1,0,1,17,1,65.25
1,441,83,12590,1,0,1,13,1,64.41
5,339,27,12805,1,1,0,2,0,78.51
6,106,25,18062,0,1,1,10,1,70.4
3,236,81,13565,1,0,1,9,0,71.01
9,509,82,13147,0,0,1,16,1,82.14
5,538,2,9023,0,0,0,12,0,66.86
8,297,72,6537,1,1,0,1,1,71.8
1,188,99,1027,1,0,1,12,1,57.81
5,349,94,18943,0,0,1,18,0,77.63
3,460,48,9790,0,0,1,4,1,71.32
1,410,16,711,0,0,1,15,1,53.26
4,515,62,18598,1,0,0,9,1,74.95
5,400,54,19572,1,0,1,11,0,81.69
7,325,22,11022,1,1,1,19,1,80.43
1,532,33,15615,0,1,0,12,1,66.19
3,207,104,5649,1,1,1,20,1,69.97
2,535,104,9724,1,0,1,15,0,71.05
9,446,68,18216,1,0,1,21,0,85.61
10,521,14,14121,1,1,0,20,1,87.58
6,279,46,7320,0,1,0,0,0,68.49
10,532,2,15261,1,1,1,21,1,91.48
3,90,82,10532,1,1,1,8,0,67.11
8,497,27,14502,0,1,0,15,1,82.54
8,197,2,10830,1,0,0,18,0,65.59
2,476,101,13243,0,0,0,14,1,66.78
6,208,3,17327,0,0,1,17,1,66.35
7,310,87,17810,1,0,0,21,0,75.86
2,539,30,17506,0,0,0,11,1,64.06
10,311,44,10171,1,1,0,13,1,77.73
2,302,58,19921,0,1,1,2,1,70.96
10,563,44,12077,0,0,0,3,0,84.34
1,396,74,17117,1,1,1,5,1,72.25
8,175,36,19575,0,0,1,15,1,81.14
1,527,64,10722,1,0,1,12,1,66.52
9,432,8,886,1,1,1,11,0,78.21
6,547,16,2134,1,0,0,21,1,73.89
7,374,117,8610,1,0,1,11,0,76.04
10,578,64,4633,0,0,1,1,1,79.4
7,206,2,9876,1,1,1,12,0,80.32
10,50,110,6081,0,1,0,2,0,70.0
3,279,25,2467,1,0,0,12,0,60.84
2,440,52,6267,0,0,0,1,1,60.07
9,548,30,9253,0,1,0,18,0,73.32
8,570,25,18883,0,1,1,8,0,83.24
10,323,22,5401,0,1,1,19,0,84.4
7,58,29,10621,1,1,1,0,0,74.59
9,508,9,15133,1,0,0,12,0,82.33
4,561,71,19663,0,0,0,1,0,73.32
4,297,107,11207,0,0,0,14,0,71.02
1,222,88,18561,1,1,1,18,0,69.2
8,85,63,12833,0,1,1,15,0,72.23
3,127,21,12438,0,0,1,10,1,58.48
7,287,14,12048,1,1,0,14,0,77.13
2,241,104,15615,0,0,0,5,0,62.29
2,549,55,10343,0,1,1,13,0,70.45
7,109,73,4677,1,0,0,5,0,65.51
6,274,19,7711,0,0,1,18,0,67.11
3,474,104,8373,1,0,1,4,0,67.19
9,272,46,4341,1,0,0,10,0,71.27
10,276,86,6916,1,1,1,3,1,82.81
6,402,52,11133,1,0,1,8,1,72.9
10,461,52,5385,0,0,1,8,1,72.17
10,109,0,1094,1,0,1,16,0,71.42
6,409,1,14893,1,0,1,7,0,76.97
1,63,57,3112,0,1,0,14,1,52.98
4,38,18,12788,1,0,1,8,1,66.88
10,120,61,18380,0,0,0,4,0,77.99
6,376,77,5361,1,1,1,3,0,71.93
6,561,71,5266,1,0,0,19,1,76.3
5,52,101,3858,1,0,0,17,1,63.57
1,248,11,15346,1,0,0,8,1,60.7
8,543,25,1414,0,0,1,20,1,71.45
5,174,26,18728,0,1,0,2,0,66.49
5,442,28,2495,0,1,1,21,1,70.07
7,265,14,594,1,1,1,8,1,69.36
4,424,45,9184,1,1,0,8,0,75.63
6,560,116,15600,1,1,0,20,1,84.31
4,180,0,19953,0,1,1,23,1,62.45
3,136,59,649,1,0,1,3,1,60.33
7,290,106,17930,0,0,1,20,0,73.53
8,506,91,3303,0,0,0,6,0,68.73
4,191,56,14966,0,0,1,6,1,67.15
2,293,2,7776,1,1,1,22,0,68.65
10,278,114,1051,1,0,1,7,0,79.46
3,154,17,15980,1,0,1,20,1,59.88
1,441,51,8986,1,1,1,0,0,71.46
8,440,59,18027,0,0,1,8,1,78.8
3,205,33,17339,0,0,1,22,0,67.55
10,383,95,10245,1,1,1,11,1,95.43
7,397,92,8860,1,0,1,5,0,74.46
10,542,88,13497,1,0,1,12,0,97.41
5,599,59,18830,0,1,1,4,1,76.67
10,215,25,7810,1,0,1,20,1,75.84
5,117,102,6317,0,0,0,18,1,63.68
7,41,71,11068,0,0,1,0,1,64.74
9,469,18,8570,0,0,1,21,0,73.13
5,191,117,1820,0,0,1,23,0,58.46
1,402,110,6653,0,1,1,17,1,61.86
10,153,105,7089,0,0,1,7,0,72.41
10,445,21,16089,0,0,0,23,1,80.32
1,44,92,4107,1,0,1,7,0,62.57
2,522,32,10817,1,1,0,14,1,68.17
6,204,37,10932,1,1,1,18,0,74.19
9,104,108,900,0,1,0,9,1,66.95
8,586,109,17246,0,0,0,23,0,77.21
5,163,34,4351,1,0,1,15,0,60.56
1,431,106,10998,0,0,0,10,1,57.59
7,243,66,584,0,0,0,11,0,62.3
5,239,82,2324,0,0,1,15,0,61.16
6,198,9,12577,0,1,0,15,1,65.57
7,452,90,16430,0,0,0,19,1,76.95
3,284,14,13049,0,0,0,2,1,58.63
10,448,10,10613,0,1,1,8,1,78.27
3,435,110,15632,0,1,1,7,0,77.89
5,472,89,9322,0,1,1,9,1,69.49
6,216,23,7918,0,1,1,12,1,66.11
9,573,76,2871,0,1,0,17,1,83.86
5,72,95,7568,0,0,1,12,0,64.0
1,499,100,12359,1,0,0,12,0,62.76
4,462,3,7964,0,0,1,14,0,59.62
5,349,12,17610,0,0,1,12,0,68.37
10,270,72,14048,1,0,0,15,1,79.56
10,142,56,7621,1,1,0,7,0,80.58
5,406,112,10340,1,0,1,18,0,80.28
7,358,97,4812,0,0,1,9,1,69.87
4,367,119,8500,0,1,1,11,1,72.22
1,48,36,9961,1,1,1,13,0,58.64
5,54,47,818,1,0,1,5,1,61.37
7,537,70,15829,1,0,0,20,0,78.08
10,415,0,16291,0,1,1,23,0,83.52
10,313,59,14872,0,0,0,8,0,74.77
6,368,11,16435,1,1,1,6,1,82.0
5,166,20,16201,0,0,1,5,1,68.57
4,86,10,11750,0,1,0,21,0,63.98
2,539,43,2102,1,1,1,0,0,70.09
4,141,114,19140,1,1,0,20,1,76.91
10,359,57,9547,1,0,0,13,0,78.3
10,194,107,15734,0,1,1,23,1,81.57
3,470,43,8032,0,1,0,5,1,61.46
10,576,77,7866,0,0,1,11,1,83.38
1,155,97,3148,0,0,1,16,1,48.37
8,35,33,7403,0,0,1,4,0,67.67
5,352,24,18742,1,1,1,10,1,78.53
4,214,3,17986,0,1,1,4,1,67.54
8,515,63,14288,0,1,1,11,1,85.62
7,28,115,2981,1,0,1,2,0,64.3
2,353,118,2320,1,0,0,23,0,62.45
1,352,89,10771,1,1,1,8,0,75.61
4,346,15,4184,1,0,0,5,0,61.91
8,34,9,4151,0,0,1,21,0,58.24
2,245,108,10931,0,1,1,1,1,65.73
3,444,65,10631,1,1,0,1,0,76.37
1,427,34,5330,0,0,0,21,0,52.61
1,132,82,7834,1,1,0,11,1,57.04
3,447,5,15119,0,0,0,7,0,61.35
5,20,18,9804,0,0,1,1,0,54.99
3,285,58,15379,0,1,1,8,1,62.52
1,510,52,17532,1,1,0,15,0,74.83
1,227,115,15085,1,0,1,14,0,70.98
8,388,114,516,0,0,0,13,1,70.98
10,325,7,8808,0,1,0,19,0,77.93
2,31,77,6976,1,0,0,3,0,55.74
3,364,9,6442,1,0,0,3,1,66.01
2,484,66,18429,0,0,0,10,0,64.31
3,513,37,3193,0,0,1,20,0,62.71
7,387,28,16062,1,0,0,23,0,73.64
1,439,14,6759,0,1,0,17,0,54.65
10,190,86,16079,1,0,1,4,0,82.23
8,153,22,9968,1,0,0,1,1,76.83
10,446,81,5442,0,1,0,14,0,84.29
10,44,45,15151,0,1,1,10,1,80.03
10,549,82,4288,0,1,1,23,0,82.94
2,209,27,871,1,0,1,16,0,56.61
3,160,25,7620,1,0,1,15,1,67.4
9,574,9,6202,1,1,1,14,1,85.1
7,334,46,8847,0,1,0,22,1,73.78
4,463,3,3161,0,1,0,2,0,61.33
10,338,54,7151,1,1,0,19,0,81.14
5,460,65,5378,1,1,1,14,1,79.48
2,111,66,13591,0,0,1,23,0,57.11
8,198,6,4815,1,1,1,18,0,75.71
4,75,54,10465,0,0,1,12,0,58.33
9,174,79,8808,0,0,1,15,0,74.36
5,130,30,6974,1,1,1,22,0,67.4
9,156,73,1874,1,1,0,11,1,79.96
4,251,18,11895,1,1,1,16,0,71.67
10,487,27,7893,1,1,0,15,1,86.36
5,500,80,4903,1,1,0,8,0,75.39
9,87,27,4046,0,0,0,5,0,61.61
8,268,18,4477,1,1,1,18,0,78.22
3,342,100,9888,0,1,1,22,0,73.25
1,537,86,9488,1,0,1,12,1,65.44
3,451,19,4392,1,1,1,20,0,70.56
4,506,12,14508,1,1,1,23,0,77.65
2,448,76,3749,1,1,0,7,1,68.26
1,288,42,611,1,0,0,11,0,59.23
7,556,10,17566,1,1,1,8,0,88.85
8,167,47,18045,0,1,0,21,0,78.18
7,137,14,7900,1,1,0,3,1,71.18
5,386,16,2879,1,1,1,12,0,70.66
1,85,53,13680,1,0,0,1,1,50.92
7,389,49,8852,1,1,0,2,1,81.9
7,194,27,18309,0,0,1,4,0,63.88
9,514,82,8969,0,1,0,23,0,85.63
3,133,3,10248,0,1,1,17,0,63.16
9,130,21,10607,0,1,1,20,0,79.86
1,458,85,13442,0,0,1,13,1,65.93
1,166,118,19991,0,1,0,1,0,66.72
4,54,100,17186,1,1,0,14,0,71.12
9,328,38,5033,1,0,0,7,0,74.2
6,557,33,19657,0,1,1,15,1,79.44
3,33,96,4781,1,1,0,2,0,62.5
1,393,43,5268,1,1,0,23,0,61.1
4,576,41,17884,1,1,1,19,0,82.65
9,447,39,12698,1,0,1,19,0,83.16
3,252,96,18602,1,0,1,22,0,73.08
9,582,11,7669,0,0,0,4,0,73.75
7,459,1,7861,0,1,1,3,0,72.31
4,521,27,4330,0,1,0,22,1,67.61
3,294,73,3382,0,1,1,11,1,65.17
10,95,85,1498,0,1,1,18,0,74.73
5,458,80,16442,0,0,1,14,0,71.56
5,308,89,17168,1,1,1,12,0,83.21
3,559,66,16746,0,0,0,4,1,66.56
9,272,70,19044,1,1,0,11,0,83.89
4,145,107,3565,1,1,0,18,0,67.31
5,196,71,10967,0,0,1,1,1,69.4
4,56,83,18378,0,1,0,6,1,62.84
5,429,75,12576,0,0,1,22,0,68.65
7,146,98,3043,1,0,1,4,0,65.45
9,502,80,10533,0,1,0,19,1,82.83
7,187,91,1901,0,0,1,10,1,65.23
5,313,104,17329,0,0,1,17,1,74.4
10,362,9,5022,1,1,0,17,1,80.22
10,329,85,3051,0,0,0,6,0,74.72
7,547,101,5316,0,0,1,9,0,75.65
10,559,56,19615,1,1,0,22,1,90.66
5,438,96,8199,1,0,1,19,0,76.36
3,463,85,3129,1,1,0,13,0,71.32
7,577,107,8187,0,0,1,19,1,76.94
2,255,36,10656,0,1,1,19,1,63.5
9,458,76,17941,1,1,1,10,1,87.9
10,233,90,7334,0,1,0,1,0,73.01
10,104,63,18679,1,1,0,12,0,78.59
1,104,78,5349,1,1,1,12,0,63.52
6,508,85,16282,1,0,0,8,1,81.77
7,84,93,16327,1,1,0,16,0,73.22
8,83,106,9931,1,1,0,14,1,77.41
10,362,39,4650,0,0,1,23,0,75.86
9,371,100,11789,0,1,0,21,1,79.12
2,177,97,9996,0,0,0,22,0,62.19
10,510,107,6970,0,0,0,20,0,74.66
2,482,59,13757,1,1,1,21,1,74.34
5,244,97,4212,0,0,1,21,1,56.1
5,332,47,13221,1,0,1,15,0,74.64
6,485,116,12995,1,0,0,9,0,76.8
3,107,98,12920,0,1,1,19,1,60.57
8,322,105,5815,0,0,0,11,0,72.38
1,454,18,5881,1,1,0,4,0,63.45
6,154,71,9997,0,1,1,19,1,69.71
4,69,102,13994,0,0,0,16,1,64.86
1,451,32,17450,0,1,1,9,0,66.0
7,359,43,16252,0,0,0,5,1,73.39
9,366,91,5122,1,0,0,20,0,79.8
4,366,36,4632,1,1,0,19,0,66.75
4,264,111,9330,0,1,0,5,1,67.52
6,128,88,7495,1,1,0,11,0,76.74
3,552,35,3170,1,0,1,20,0,65.35
6,109,80,9864,0,0,1,18,0,67.78
7,315,87,18566,0,0,1,1,0,77.12
10,131,20,10541,1,1,1,12,0,84.7
10,196,1,9554,1,0,0,21,1,73.65
3,362,30,12137,1,0,0,19,1,67.87
7,120,107,11257,0,0,1,10,0,65.58
3,420,96,8990,1,0,1,14,0,65.26
2,47,29,12829,1,1,0,12,1,58.66
10,556,75,1270,0,0,1,2,0,77.18
4,77,43,4354,1,1,0,13,1,61.8
8,517,11,3618,0,0,0,7,1,71.98
9,316,50,19016,0,0,1,8,1,78.15
7,153,48,10401,1,0,0,14,0,69.73
1,350,115,17874,0,1,0,22,0,68.11
3,268,23,17594,0,1,1,17,0,66.41
9,569,23,14022,1,1,1,7,0,89.49
1,94,59,538,0,0,0,10,1,50.25
9,187,10,18159,1,0,1,4,0,80.22
8,522,12,16502,0,1,0,14,0,81.07
1,374,90,5357,0,0,1,14,0,60.66
6,244,71,16812,1,0,0,6,1,78.78
5,550,73,1936,1,1,0,20,0,71.46
6,165,71,18983,1,0,0,17,1,80.84
10,260,63,8193,0,0,0,11,0,75.44
5,363,19,13718,1,0,0,11,0,73.6
6,54,71,4751,0,1,0,3,0,66.94
5,20,72,9805,1,0,0,10,0,67.01
5,172,70,11090,0,1,0,20,0,62.61
4,448,77,8162,1,0,0,5,1,66.49
3,527,27,3623,0,1,1,20,0,68.8
3,145,1,17537,1,1,0,9,1,68.45
4,510,42,4658,0,1,1,14,0,72.29
9,501,7,9200,0,1,1,0,0,80.11
2,364,12,11031,0,0,1,16,1,56.44
9,240,84,10379,0,1,0,2,0,75.86
1,44,110,6043,1,0,0,10,1,58.63
1,547,91,14480,0,0,1,17,1,66.97
5,201,34,15656,1,1,0,9,0,72.53
6,518,22,10080,0,0,0,20,0,68.59
6,61,45,19081,1,0,0,8,0,68.44
3,500,14,4411,0,0,0,6,0,56.46
